country,region,city,address_name
South Korea,South Jeolla,Mokpo,341-4154 Mus. Road
Brazil,Pernambuco,Olinda,877-8753 Scelerisque Road
Australia,Western Australia,Nedlands,Ap #426-6831 Nec Rd.
China,Dōngběi,Heilongjiang,Ap #923-6062 At St.
India,Mizoram,Aizwal,"1754 Non, Av."
Ireland,Connacht,Galway,545-7262 Pellentesque. St.
Belgium,Luxemburg,Thiaumont,401-1871 Sagittis Avenue
Turkey,Mersin,Silifke,Ap #131-2873 Non Street
Norway,Vestfold og Telemark,Porsgrunn,511-6302 Mi Avenue
United Kingdom,Huntingdonshire,St. Neots,Ap #354-3094 Phasellus Rd.
Chile,Los Ríos,Río Bueno,Ap #792-4348 Nulla Ave
Ireland,Leinster,Dublin,1289 Cras Street
Ireland,Munster,Cork,"P.O. Box 399, 9166 Nonummy Rd."
Australia,Western Australia,Bunbury,Ap #874-9213 Adipiscing. Rd.
Nigeria,Borno,Maiduguri,8033 Dignissim Ave
Canada,British Columbia,Victoria,Ap #981-4195 Hendrerit. Rd.
Pakistan,Balochistan,Musakhel,"Ap #794-4575 At, Rd."
Spain,La Rioja,Logroño,529-5292 Ac St.
Pakistan,FATA,Khyber Agency,758-615 Lobortis Av.
Philippines,Caraga,Bislig,Ap #458-7397 Duis Av.
Poland,Lubelskie,Biała Podlaska,7255 Diam Rd.
Norway,Vestfold og Telemark,Tønsberg,Ap #586-8518 Posuere Av.
Netherlands,Friesland,IJlst,Ap #959-4785 Faucibus. Street
Vietnam,Quảng Ngãi,Quảng Ngãi,170-3283 Pharetra St.
Australia,Queensland,Redlands,293-7019 Cursus. St.
Indonesia,Southeast Sulawesi,Baubau,924-4031 Per Rd.
Spain,Navarra,Pamplona,"Ap #332-3477 Ut, Ave"
Poland,Warmińsko-mazurskie,Olsztyn,Ap #694-4492 Malesuada Rd.
United Kingdom,Kincardineshire,Stonehaven,Ap #941-4904 Morbi Rd.
Singapore,North-East Region,Ang Mo Kio,920-9385 Dolor Road
Canada,Alberta,Camrose,561 Ligula. Rd.
Australia,South Australia,Murray Bridge,267-377 Semper Rd.
Poland,Swiętokrzyskie,Starachowice,"207-9131 Elementum, Avenue"
Pakistan,Punjab,Hafizabad,"P.O. Box 393, 9924 Ornare, Av."
Ukraine,Kherson oblast,Nova Kakhovka,Ap #555-5121 Gravida. St.
Vietnam,Cà Mau,Cà Mau,216-8580 Donec Rd.
Russian Federation,Orenburg Oblast,Orenburg,Ap #819-971 Lobortis St.
Germany,Baden Württemberg,Waiblingen,Ap #556-6316 Vitae St.
Nigeria,Delta,Warri,333-5348 In Rd.
Spain,Murcia,Cartagena,5352 Eleifend St.
Norway,Vestland,Bergen,9371 Nulla. St.
United States,Louisiana,Metairie,3632 Nunc St.
Brazil,Santa Catarina,Blumenau,Ap #666-6688 Massa. Street
New Zealand,North Island,Waiheke Island,237-9185 Vel Street
Canada,Yukon,Watson Lake,Ap #774-9332 Accumsan St.
France,Provence-Alpes-Côte d'Azur,Aubagne,885-6684 Mauris Rd.
Peru,Lambayeque,Lambayeque,4011 Lacinia Avenue
Mexico,Querétaro,Querétaro,431-9006 Mauris Ave
Norway,Oslo,Oslo,Ap #733-1751 Mollis. Rd.
New Zealand,South Island,Rangiora,"P.O. Box 453, 4301 Enim Avenue"
Turkey,Van,Muradiye,"P.O. Box 698, 1851 Per Rd."
